sp:-2.42, pv:-2.50, o:-13.73, s:68.00
sp:-2.42, pv:-2.56, o:-13.54, s:68.00
sp:-2.42, pv:-2.61, o:-14.15, s:69.00
sp:-2.42, pv:-2.57, o:-1.51, s:56.00
sp:-2.42, pv:-2.57, o:-6.68, s:61.00
sp:-2.42, pv:-2.60, o:-12.82, s:67.00
sp:-2.41, pv:-2.58, o:-4.13, s:59.00
sp:-2.41, pv:-2.57, o:-6.47, s:61.00
sp:-2.41, pv:-2.56, o:-5.34, s:60.00
sp:-2.41, pv:-2.57, o:-8.36, s:63.00
sp:-2.41, pv:-2.51, o:2.10, s:57.00
sp:-2.41, pv:-2.51, o:-4.69, s:59.00
sp:-2.41, pv:-2.41, o:13.24, s:68.00
sp:-2.42, pv:-2.35, o:11.72, s:66.00
sp:-2.42, pv:-2.29, o:15.00, s:69.00
sp:-2.42, pv:-2.32, o:1.79, s:56.00
sp:-2.42, pv:-2.33, o:2.89, s:57.00
sp:-2.42, pv:-2.33, o:4.99, s:59.00
sp:-2.42, pv:-2.33, o:5.08, s:60.00
sp:-2.42, pv:-2.33, o:5.10, s:60.00
sp:-2.42, pv:-2.30, o:11.74, s:66.00
sp:-2.42, pv:-2.39, o:-8.94, s:63.00
sp:-2.42, pv:-2.48, o:-14.09, s:69.00
sp:-2.42, pv:-2.57, o:-18.62, s:72.00
sp:-2.42, pv:-2.57, o:-7.23, s:62.00
sp:-2.42, pv:-2.58, o:-8.76, s:63.00
sp:-2.42, pv:-2.58, o:-7.84, s:62.00
sp:-2.42, pv:-2.60, o:-10.85, s:65.00
sp:-2.42, pv:-2.61, o:-10.68, s:65.00
sp:-2.41, pv:-2.59, o:-7.13, s:62.00
sp:-2.41, pv:-2.58, o:-6.18, s:61.00
sp:-2.41, pv:-2.58, o:-8.33, s:63.00
sp:-2.41, pv:-2.47, o:10.80, s:65.00
sp:-2.42, pv:-2.40, o:9.68, s:64.00
sp:-2.42, pv:-2.29, o:19.16, s:73.00
sp:-2.42, pv:-2.32, o:1.11, s:56.00
sp:-2.42, pv:-2.32, o:4.65, s:59.00
sp:-2.42, pv:-2.34, o:1.60, s:56.00
sp:-2.42, pv:-2.34, o:3.95, s:58.00
sp:-2.42, pv:-2.28, o:14.41, s:69.00
sp:-2.42, pv:-2.28, o:7.32, s:62.00
sp:-2.42, pv:-2.41, o:-14.88, s:69.00
sp:-2.42, pv:-2.51, o:-16.84, s:71.00
sp:-2.42, pv:-2.60, o:-19.71, s:73.00
sp:-2.41, pv:-2.60, o:-9.04, s:64.00
sp:-2.41, pv:-2.59, o:-7.53, s:62.00
sp:-2.41, pv:-2.59, o:-8.79, s:63.00
