kps 0.3
kis 0.7

kpp 30
kip 120
kdp 0.5

pitch set point, pitch, speed set point, speed, filtered speed
0.46, 0.25, 0.00, -1.00, 0.03
0.47, 0.25, 0.00, -0.50, -0.03
0.49, 0.49, 0.00, -1.00, -0.08
0.51, 0.49, 0.00, -0.50, -0.14
0.53, 0.56, 0.00, -0.50, -0.19
0.54, 0.59, 0.00, -0.50, -0.24
0.55, 0.57, 0.00, 0.00, -0.28
0.57, 0.54, 0.00, 0.00, -0.32
0.58, 0.54, 0.00, 0.00, -0.35
0.58, 0.60, 0.00, -0.50, -0.37
0.59, 0.63, 0.00, -0.50, -0.39
0.60, 0.63, 0.00, -0.50, -0.41
0.60, 0.64, 0.00, 0.00, -0.42
0.61, 0.64, 0.00, 0.50, -0.43
0.61, 0.62, 0.00, 0.00, -0.43
0.61, 0.62, 0.00, 1.00, -0.43
0.60, 0.62, 0.00, 0.00, -0.41
0.60, 0.60, 0.00, 0.50, -0.39
0.59, 0.59, 0.00, 0.00, -0.37
0.59, 0.59, 0.00, 0.00, -0.35
0.58, 0.57, 0.00, -0.50, -0.32
0.58, 0.57, 0.00, -1.00, -0.30
0.57, 0.57, 0.00, -1.00, -0.29
0.57, 0.57, 0.00, -1.00, -0.29
0.58, 0.53, 0.00, -1.00, -0.29
0.58, 0.60, 0.00, -1.00, -0.30
0.58, 0.71, 0.00, -0.50, -0.32
0.59, 0.73, 0.00, -0.50, -0.33
0.60, 0.73, 0.00, 0.00, -0.35
0.60, 0.80, 0.00, 1.00, -0.35
0.60, 0.79, 0.00, 1.00, -0.35
0.59, 0.74, 0.00, 1.00, -0.33
0.59, 0.70, 0.00, 1.00, -0.31
0.58, 0.73, 0.00, 0.50, -0.27
0.57, 0.71, 0.00, 1.00, -0.23
0.55, 0.71, 0.00, 0.00, -0.19
0.54, 0.66, 0.00, 0.50, -0.15
0.53, 0.65, 0.00, 0.50, -0.11
0.52, 0.61, 0.00, 0.00, -0.07
0.51, 0.62, 0.00, 0.00, -0.03
0.50, 0.65, 0.00, 0.50, 0.00
0.49, 0.65, 0.00, 0.00, 0.03
0.48, 0.64, 0.00, 0.50, 0.06
0.47, 0.64, 0.00, 0.50, 0.09
0.46, 0.63, 0.00, 1.00, 0.12
0.45, 0.62, 0.00, 0.50, 0.15
0.44, 0.62, 0.00, 1.00, 0.19
0.43, 0.54, 0.00, 1.00, 0.22
0.42, 0.54, 0.00, 0.50, 0.26
0.41, 0.47, 0.00, 1.50, 0.29
0.39, 0.47, 0.00, 0.00, 0.33
0.38, 0.42, 0.00, 0.50, 0.37
0.37, 0.41, 0.00, 0.50, 0.40
0.36, 0.41, 0.00, 0.50, 0.42
0.35, 0.40, 0.00, 0.00, 0.45
0.35, 0.40, 0.00, 0.50, 0.47
0.34, 0.39, 0.00, 1.00, 0.48
0.33, 0.39, 0.00, 0.50, 0.50
0.33, 0.38, 0.00, 1.00, 0.52
0.32, 0.41, 0.00, 1.50, 0.53
0.31, 0.37, 0.00, 1.00, 0.56
0.30, 0.26, 0.00, 0.50, 0.58
0.30, 0.26, 0.00, 0.00, 0.60
0.29, 0.14, 0.00, 0.50, 0.62
0.29, 0.15, 0.00, 0.00, 0.63
0.28, 0.23, 0.00, -0.50, 0.63
0.28, 0.22, 0.00, 0.00, 0.62
0.29, 0.19, 0.00, 0.00, 0.61
0.29, 0.19, 0.00, 0.00, 0.59
0.29, 0.18, 0.00, -0.50, 0.57
0.30, 0.18, 0.00, -1.00, 0.54
0.31, 0.17, 0.00, -0.50, 0.50
0.32, 0.22, 0.00, -0.50, 0.46
0.34, 0.30, 0.00, -1.00, 0.41
0.35, 0.36, 0.00, -0.50, 0.36
0.36, 0.36, 0.00, 0.50, 0.31
0.38, 0.37, 0.00, 0.50, 0.26
0.39, 0.32, 0.00, 1.00, 0.23
0.40, 0.30, 0.00, 0.50, 0.20
0.40, 0.32, 0.00, 0.00, 0.18
0.41, 0.31, 0.00, 0.50, 0.16
0.41, 0.29, 0.00, 0.00, 0.15
0.41, 0.29, 0.00, 0.00, 0.14
0.42, 0.30, 0.00, 0.00, 0.13
0.42, 0.29, 0.00, -0.50, 0.11
0.42, 0.27, 0.00, -1.00, 0.10
0.43, 0.26, 0.00, -1.00, 0.07
0.44, 0.26, 0.00, -1.00, 0.04
0.45, 0.26, 0.00, -1.00, 0.01
0.46, 0.25, 0.00, -1.00, -0.04
0.48, 0.25, 0.00, -1.00, -0.08
0.49, 0.27, 0.00, -1.50, -0.13
0.51, 0.36, 0.00, -1.50, -0.18
0.53, 0.52, 0.00, -1.00, -0.24
0.54, 0.60, 0.00, 0.00, -0.30
0.56, 0.60, 0.00, 0.00, -0.35
0.57, 0.63, 0.00, 0.50, -0.38
0.58, 0.63, 0.00, 1.00, -0.41
0.58, 0.58, 0.00, 1.00, -0.42
0.58, 0.57, 0.00, 1.00, -0.41
0.58, 0.61, 0.00, 0.50, -0.39
0.57, 0.59, 0.00, 0.00, -0.37
0.57, 0.59, 0.00, 0.50, -0.34
0.56, 0.53, 0.00, 0.00, -0.32
0.55, 0.47, 0.00, -0.50, -0.29
0.55, 0.44, 0.00, -0.50, -0.27
0.54, 0.44, 0.00, -1.00, -0.25
0.54, 0.43, 0.00, -0.50, -0.24
0.54, 0.42, 0.00, -1.00, -0.24
0.54, 0.42, 0.00, -1.00, -0.24
0.54, 0.38, 0.00, -1.50, -0.25
0.55, 0.36, 0.00, -1.50, -0.27
0.56, 0.32, 0.00, -1.50, -0.30
0.57, 0.43, 0.00, -1.00, -0.34
0.59, 0.62, 0.00, -1.00, -0.37
0.60, 0.62, 0.00, -0.50, -0.41
0.61, 0.71, 0.00, 0.50, -0.44
0.62, 0.71, 0.00, 0.00, -0.47
0.62, 0.61, 0.00, 0.50, -0.48
0.62, 0.54, 0.00, 0.50, -0.48
0.62, 0.56, 0.00, 0.50, -0.48
0.62, 0.59, 0.00, 0.00, -0.46
0.62, 0.59, 0.00, -0.50, -0.45
0.61, 0.58, 0.00, -0.50, -0.43
0.61, 0.57, 0.00, -0.50, -0.42
0.61, 0.55, 0.00, -0.50, -0.41
0.61, 0.52, 0.00, -1.00, -0.40
0.61, 0.50, 0.00, -0.50, -0.40
0.61, 0.48, 0.00, -1.50, -0.40
0.61, 0.48, 0.00, -0.50, -0.41
0.62, 0.45, 0.00, -1.50, -0.42
0.63, 0.41, 0.00, -0.50, -0.44
0.63, 0.58, 0.00, -1.00, -0.46
0.64, 0.69, 0.00, 0.00, -0.47
0.64, 0.80, 0.00, 0.00, -0.49
0.65, 0.77, 0.00, 0.00, -0.49
0.65, 0.77, 0.00, 0.50, -0.49
0.65, 0.68, 0.00, 1.00, -0.48
0.64, 0.64, 0.00, 0.00, -0.47
0.64, 0.67, 0.00, 0.50, -0.44
0.63, 0.68, 0.00, 0.00, -0.41
0.62, 0.66, 0.00, 0.50, -0.38
0.61, 0.66, 0.00, 0.00, -0.35
0.60, 0.68, 0.00, 0.50, -0.32
0.59, 0.68, 0.00, 0.50, -0.28
0.58, 0.67, 0.00, 0.50, -0.24
0.57, 0.66, 0.00, 1.00, -0.20
0.56, 0.60, 0.00, 0.50, -0.16
0.55, 0.59, 0.00, 0.50, -0.11
0.53, 0.59, 0.00, 0.50, -0.07
0.52, 0.54, 0.00, 0.00, -0.02
0.51, 0.52, 0.00, 0.00, 0.02
0.50, 0.54, 0.00, 0.00, 0.05
0.49, 0.51, 0.00, 0.00, 0.08
0.48, 0.48, 0.00, 0.00, 0.11
0.47, 0.48, 0.00, -0.50, 0.12
0.47, 0.48, 0.00, 0.00, 0.14
0.47, 0.42, 0.00, -0.50, 0.15
0.46, 0.41, 0.00, 0.00, 0.15
0.46, 0.41, 0.00, -0.50, 0.15
0.47, 0.45, 0.00, 0.00, 0.14
0.47, 0.52, 0.00, -0.50, 0.13
0.47, 0.52, 0.00, 0.00, 0.12
0.47, 0.55, 0.00, 0.50, 0.11
0.48, 0.55, 0.00, 0.50, 0.11
0.47, 0.51, 0.00, 1.50, 0.11
0.47, 0.48, 0.00, 0.50, 0.12
0.47, 0.49, 0.00, 1.00, 0.13
0.46, 0.48, 0.00, 0.00, 0.15
0.46, 0.48, 0.00, 0.00, 0.17
0.45, 0.48, 0.00, 0.00, 0.18
0.45, 0.49, 0.00, -0.50, 0.19
0.45, 0.49, 0.00, 0.50, 0.19
0.45, 0.51, 0.00, 0.00, 0.19
0.44, 0.52, 0.00, 0.50, 0.20
0.44, 0.52, 0.00, 0.50, 0.20
0.44, 0.52, 0.00, 0.50, 0.21
0.44, 0.54, 0.00, 1.00, 0.22
0.43, 0.55, 0.00, 1.00, 0.23
0.42, 0.56, 0.00, 1.00, 0.25
0.42, 0.44, 0.00, 0.50, 0.27
0.41, 0.40, 0.00, 0.50, 0.30
0.40, 0.32, 0.00, 0.50, 0.32
0.39, 0.32, 0.00, -0.50, 0.34
0.39, 0.34, 0.00, 0.00, 0.35
0.39, 0.39, 0.00, -0.50, 0.35
0.39, 0.37, 0.00, -0.50, 0.35
0.39, 0.35, 0.00, 0.00, 0.34
0.39, 0.35, 0.00, 0.00, 0.33
